
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   9072 Console                    1     31ÿ700 K
taskhostw.exe                 9188 Console                    1     21ÿ112 K
svchost.exe                   3616 Services                   0     25ÿ008 K
ApMsgFwd.exe                  5312 Console                    1     10ÿ536 K
svchost.exe                   5504 Services                   0     36ÿ652 K
AggregatorHost.exe            8260 Services                   0     15ÿ684 K
ApRemote.exe                  9416 Console                    1      5ÿ380 K
hidfind.exe                   9432 Console                    1      7ÿ552 K
explorer.exe                  9544 Console                    1    352ÿ624 K
svchost.exe                   9564 Services                   0     24ÿ164 K
ApntEx.exe                    9724 Console                    1      9ÿ360 K
conhost.exe                   9996 Console                    1      9ÿ164 K
svchost.exe                  10072 Services                   0      5ÿ740 K
svchost.exe                    660 Services                   0     16ÿ196 K
RtkAudUService64.exe         10276 Console                    1     19ÿ784 K
svchost.exe                  10344 Services                   0     20ÿ508 K
svchost.exe                  11016 Console                    1     47ÿ696 K
SearchHost.exe               10832 Console                    1    129ÿ284 K
StartMenuExperienceHost.e    10864 Console                    1    143ÿ612 K
RuntimeBroker.exe            11108 Console                    1     45ÿ228 K
svchost.exe                  10760 Console                    1     22ÿ620 K
RuntimeBroker.exe            10424 Console                    1     42ÿ392 K
msedgewebview2.exe           11752 Console                    1    107ÿ692 K
msedgewebview2.exe           11848 Console                    1      9ÿ112 K
ctfmon.exe                   11936 Console                    1     40ÿ792 K
msedgewebview2.exe           12284 Console                    1     36ÿ492 K
msedgewebview2.exe           11332 Console                    1     61ÿ548 K
msedgewebview2.exe           11512 Console                    1     20ÿ340 K
msedgewebview2.exe           11436 Console                    1     87ÿ192 K
unsecapp.exe                 12688 Console                    1     10ÿ284 K
PhoneExperienceHost.exe      12992 Console                    1    180ÿ156 K
NisSrv.exe                   13276 Services                   0     14ÿ132 K
SearchIndexer.exe             7456 Services                   0     40ÿ268 K
SecurityHealthSystray.exe     8452 Console                    1     13ÿ252 K
SecurityHealthService.exe     9756 Services                   0     25ÿ332 K
RtkAudUService64.exe         12872 Console                    1     18ÿ104 K
lghub_system_tray.exe         4100 Console                    1     81ÿ036 K
lghub_agent.exe              10708 Console                    1     88ÿ740 K
TextInputHost.exe            11484 Console                    1    182ÿ220 K
unsecapp.exe                 13988 Console                    1     12ÿ096 K
claude.exe                   14128 Console                    1    129ÿ740 K
claude.exe                   13748 Console                    1     35ÿ432 K
claude.exe                   14344 Console                    1    116ÿ400 K
claude.exe                   14428 Console                    1     60ÿ856 K
claude.exe                   14540 Console                    1     80ÿ988 K
claude.exe                   14568 Console                    1     73ÿ428 K
GoogleDriveFS.exe            13412 Console                    1     24ÿ100 K
crashpad_handler.exe         14980 Console                    1      7ÿ564 K
GoogleDriveFS.exe             7592 Console                    1    127ÿ076 K
GoogleDriveFS.exe             7416 Console                    1     75ÿ576 K
conhost.exe                   6940 Console                    1     19ÿ464 K
GoogleDriveFS.exe            14380 Console                    1     28ÿ200 K
GoogleDriveFS.exe            14372 Console                    1     35ÿ316 K
GoogleDriveFS.exe            12920 Console                    1     36ÿ016 K
GoogleDriveFS.exe            12936 Console                    1     73ÿ196 K
svchost.exe                   8288 Console                    1     27ÿ024 K
svchost.exe                  11004 Services                   0     15ÿ584 K
svchost.exe                  10960 Services                   0     13ÿ656 K
WindowsTerminal.exe           9048 Console                    1    127ÿ780 K
vmcompute.exe                 2944 Services                   0     14ÿ768 K
vmwp.exe                      2148 Services                   0     27ÿ472 K
vmmemWSL                      7332 Services                   0  1ÿ823ÿ040 K
dllhost.exe                   2880 Console                    1     12ÿ968 K
dllhost.exe                   4784 Console                    1     11ÿ992 K
wslrelay.exe                  8936 Console                    1     10ÿ300 K
svchost.exe                  16092 Services                   0      7ÿ544 K
wslhost.exe                   6548 Console                    1     12ÿ428 K
conhost.exe                   8892 Console                    1      9ÿ576 K
msrdc.exe                    12120 Console                    1     56ÿ540 K
wslhost.exe                   2656 Console                    1     12ÿ364 K
conhost.exe                   3996 Console                    1      9ÿ540 K
audiodg.exe                   8804 Services                   0     65ÿ084 K
svchost.exe                   3348 Services                   0     10ÿ468 K
svchost.exe                  10744 Console                    1     25ÿ236 K
svchost.exe                   8956 Services                   0      9ÿ932 K
svchost.exe                   7636 Console                    1     14ÿ852 K
svchost.exe                   9504 Services                   0     17ÿ768 K
chrome.exe                   16412 Console                    1    313ÿ524 K
chrome.exe                   16460 Console                    1      9ÿ292 K
chrome.exe                   16720 Console                    1    190ÿ096 K
chrome.exe                   16728 Console                    1     60ÿ088 K
chrome.exe                   16856 Console                    1     22ÿ752 K
chrome.exe                   17032 Console                    1     99ÿ788 K
chrome.exe                   18060 Console                    1     24ÿ424 K
chrome.exe                    6688 Console                    1     49ÿ816 K
OpenConsole.exe               6512 Console                    1     13ÿ872 K
powershell.exe               11960 Console                    1     85ÿ640 K
wsl.exe                       3084 Console                    1      7ÿ700 K
wsl.exe                      13352 Console                    1     13ÿ928 K
wslhost.exe                  15904 Console                    1     12ÿ008 K
conhost.exe                  13728 Console                    1      9ÿ604 K
Spotify.exe                  17552 Console                    1    280ÿ060 K
Spotify.exe                  17584 Console                    1     22ÿ428 K
Spotify.exe                  12948 Console                    1    209ÿ584 K
Spotify.exe                   8616 Console                    1     49ÿ024 K
Spotify.exe                   4600 Console                    1     26ÿ988 K
Spotify.exe                  17768 Console                    1    457ÿ336 K
svchost.exe                   4088 Services                   0     25ÿ336 K
qbittorrent.exe              11088 Console                    1     97ÿ960 K
mpc-hc64.exe                  8356 Console                    1    139ÿ032 K
Godot_v4.5-dev4_mono_win6     6684 Console                    1    258ÿ096 K
Godot_v4.5-dev4_mono_win6     6116 Console                    1    252ÿ096 K
Notepad.exe                   3232 Console                    1    122ÿ824 K
JackettService.exe           10336 Services                   0     35ÿ568 K
JackettConsole.exe            5780 Services                   0     93ÿ424 K
conhost.exe                   5956 Services                   0      6ÿ624 K
svchost.exe                   8940 Services                   0     16ÿ156 K
Godot_v4.5-dev4_mono_win6    10940 Console                    1    269ÿ144 K
Godot_v4.5-dev4_mono_win6     7228 Console                    1    276ÿ420 K
Godot_v4.5-dev4_mono_win6     5460 Console                    1    298ÿ824 K
Godot_v4.5-dev4_mono_win6    17240 Console                    1    299ÿ300 K
ShellHost.exe                 8796 Console                    1     57ÿ500 K
chrome.exe                    3468 Console                    1    144ÿ992 K
Godot_v4.5-dev4_mono_win6    19252 Console                    1    298ÿ732 K
Godot_v4.5-dev4_mono_win6     2336 Console                    1    563ÿ076 K
chrome.exe                   10816 Console                    1    157ÿ272 K
chrome.exe                   19068 Console                    1     62ÿ760 K
chrome.exe                    9168 Console                    1    106ÿ552 K
claude.exe                    6860 Console                    1    394ÿ152 K
cmd.exe                      19180 Console                    1      6ÿ636 K
conhost.exe                   8896 Console                    1      9ÿ708 K
node.exe                     12172 Console                    1     61ÿ688 K
cmd.exe                      15936 Console                    1      6ÿ744 K
node.exe                      3204 Console                    1     49ÿ852 K
claude.exe                    2744 Console                    1    101ÿ168 K
chrome.exe                   10800 Console                    1    143ÿ028 K
chrome.exe                    1328 Console                    1    110ÿ072 K
NTService.exe                 7248 Services                   0     18ÿ960 K
svchost.exe                  19120 Services                   0      9ÿ224 K
chrome.exe                   18444 Console                    1     31ÿ528 K
SearchProtocolHost.exe       18260 Services                   0     17ÿ500 K
WmiPrvSE.exe                 17028 Services                   0     13ÿ440 K
backgroundTaskHost.exe       18100 Console                    1     20ÿ776 K
chrome.exe                   16736 Console                    1     56ÿ828 K
tasklist.exe                 17840 Console                    1     11ÿ604 K
conhost.exe                   2172 Console                    1      6ÿ976 K
